timestamp_ms,used_main_memory,used_secondary_memory,cache_hits,cache_misses
5331198,8,0,625725,7
5331209,8,0,626599,7
5331219,8,0,627408,7
5331230,8,0,628583,7
5331240,8,0,629658,7
5331251,8,0,630242,7
5331262,8,0,631292,7
5331272,8,0,632402,7
5331283,8,0,633509,7
5331293,8,0,634559,7
5331304,8,0,635401,7
5331314,8,0,636624,7
5331325,8,0,637704,7
5331335,8,0,638783,7
5331346,8,0,639693,7
5331356,8,0,640745,7
5331366,8,0,641657,7
5331377,8,0,642439,7
5331387,8,0,643582,7
5331397,8,0,644585,7
5331408,8,0,645763,7
5331418,8,0,646848,7
5331430,8,0,648050,7
5331441,8,0,649229,7
5331452,8,0,650066,7
5331463,8,0,651375,7
5331474,8,0,652042,7
5331484,8,0,652996,7
5331494,8,0,653743,7
5331505,8,0,654837,7
5331516,8,0,656010,7
5331526,8,0,656861,7
5331537,8,0,657955,7
5331547,8,0,658796,7
5331558,8,0,659917,7
5331568,8,0,660763,7
5331579,8,0,662121,7
5331590,8,0,662663,7
5331600,8,0,663750,7
5331611,8,0,664614,7
5331621,8,0,665586,7
5331632,8,0,666460,7
5331642,8,0,666742,7
5331653,8,0,667040,7
5331664,8,0,667725,7
5331674,8,0,668897,7
5331685,8,0,669881,7
5331695,8,0,670896,7
5331706,8,0,671191,7
5331717,8,0,672017,7
5331728,8,0,672711,7
5331741,8,0,673677,7
5331757,8,0,674213,7
5331768,8,0,675783,7
5331779,8,0,676297,7
5331790,8,0,677197,7
5331800,8,0,678149,7
5331811,8,0,678149,7
5331822,8,0,678149,7
5331833,8,0,678149,7
5331844,8,0,678149,7
5331856,8,0,678149,7
5331867,8,0,678149,7
5331877,8,0,679221,7
5331888,8,0,680240,7
5331898,8,0,681743,7
5331909,8,0,682597,7
5331920,8,0,682597,7
5331931,8,0,682597,7
5331941,8,0,683794,7
5331951,8,0,684754,7
5331962,8,0,686083,7
5331973,8,0,687150,7
5331984,8,0,688527,7
5331995,8,0,689616,7
5332005,8,0,690659,7
5332015,8,0,691821,7
5332025,8,0,693000,7
5332036,8,0,694013,7
5332046,8,0,694958,7
5332057,8,0,695720,7
5332068,8,0,696708,7
5332078,8,0,697586,7
5332089,8,0,698571,7
5332099,8,0,699575,7
5332110,8,0,700562,7
5332120,8,0,701595,7
5332131,8,0,702666,7
5332141,8,0,703610,7
5332151,8,0,704448,7
5332162,8,0,705339,7
5332172,8,0,706207,7
5332182,8,0,706915,7
5332193,8,0,707807,7
5332203,8,0,708587,7
5332214,8,0,709574,7
5332225,8,0,710627,7
5332235,8,0,711397,7
5332246,8,0,712346,7
5332257,8,0,713246,7
5332267,8,0,714222,7
5332278,8,0,714961,7
5332288,8,0,715991,7
5332298,8,0,716800,7
5332309,8,0,717614,7
5332320,8,0,718451,7
5332331,8,0,719524,7
5332342,8,0,720716,7
5332361,8,0,721909,7
5332377,8,0,723188,7
5332387,8,0,724232,7
5332398,8,0,724968,7
5332408,8,0,725750,7
5332419,8,0,726498,7
5332429,8,0,727524,7
5332440,8,0,728153,7
5332451,8,0,728900,7
5332461,8,0,729473,7
5332472,8,0,730571,7
5332483,8,0,731444,7
5332493,8,0,732458,7
5332503,8,0,733490,7
5332514,8,0,734366,7
5332524,8,0,735266,7
5332535,8,0,736526,7
5332546,8,0,737708,7
5332556,8,0,738689,7
5332567,8,0,739514,7
5332577,8,0,740669,7
5332588,8,0,741699,7
5332599,8,0,742779,7
5332609,8,0,743977,7
5332619,8,0,745102,7
5332630,8,0,746245,7
5332640,8,0,747407,7
5332651,8,0,748755,7
5332661,8,0,749858,7
5332672,8,0,750915,7
5332682,8,0,751631,7
5332692,8,0,752485,7
5332703,8,0,753641,7
5332713,8,0,754657,7
5332724,8,0,755748,7
5332734,8,0,756809,7
5332745,8,0,757850,7
5332756,8,0,758884,7
5332767,8,0,760154,7
5332777,8,0,761345,7
5332787,8,0,762345,7
5332798,8,0,763601,7
5332808,8,0,764470,7
5332819,8,0,765415,7
5332829,8,0,766472,7
5332839,8,0,767612,7
5332850,8,0,768492,7
5332860,8,0,769373,7
5332871,8,0,770399,7
5332881,8,0,771539,7
5332892,8,0,772614,7
5332902,8,0,773690,7
5332913,8,0,774911,7
5332923,8,0,776168,7
5332934,8,0,777386,7
5332945,8,0,778451,7
5332956,8,0,779599,7
5332966,8,0,780327,7
5332977,8,0,781254,7
5332988,8,0,781637,7
5332999,8,0,782416,7
5333009,8,0,783086,7
5333019,8,0,783639,7
5333030,8,0,784625,7
5333041,8,0,785369,7
5333051,8,0,786231,7
5333061,8,0,786758,7
5333072,8,0,787671,7
5333082,8,0,788558,7
5333093,8,0,789264,7
5333103,8,0,789902,7
5333114,8,0,790925,7
5333124,8,0,791888,7
5333135,8,0,792634,7
5333145,8,0,793742,7
5333156,8,0,794471,7
5333166,8,0,795510,7
5333177,8,0,796109,7
5333188,8,0,797072,7
5333198,8,0,797824,7
5333209,8,0,798665,7
5333219,8,0,799452,7
5333230,8,0,800447,7
5333240,8,0,801131,7
5333251,8,0,802000,7
5333261,8,0,802817,7
5333272,8,0,803483,7
5333282,8,0,804429,7
5333292,8,0,805006,7
5333303,8,0,805532,7
5333313,8,0,806237,7
5333324,8,0,807498,7
5333335,8,0,808353,7
5333345,8,0,809217,7
5333356,8,0,809830,7
5333366,8,0,810684,7
5333376,8,0,811607,7
5333387,8,0,812716,7
5333398,8,0,813718,7
5333408,8,0,814616,7
5333418,8,0,815548,7
5333428,8,0,816516,7
5333439,8,0,817583,7
5333450,8,0,818402,7
5333460,8,0,819324,7
5333470,8,0,820433,7
5333481,8,0,821574,7
5333492,8,0,822650,7
5333502,8,0,823397,7
5333513,8,0,824463,7
5333524,8,0,825529,7
5333535,8,0,826750,7
5333545,8,0,827792,7
5333556,8,0,828600,7
5333567,8,0,829949,7
5333578,8,0,831060,7
5333589,8,0,832300,7
5333600,8,0,833571,7
5333611,8,0,834386,7
5333621,8,0,835595,7
5333632,8,0,836466,7
5333643,8,0,837617,7
5333653,8,0,838486,7
5333664,8,0,839582,7
5333675,8,0,840474,7
5333686,8,0,841217,7
5333696,8,0,841946,7
5333706,8,0,842633,7
5333717,8,0,843281,7
5333728,8,0,844124,7
5333738,8,0,845510,7
5333748,8,0,846350,7
5333759,8,0,847394,7
5333770,8,0,848376,7
5333780,8,0,849231,7
5333791,8,0,850464,7
5333801,8,0,851374,7
5333812,8,0,852372,7
5333822,8,0,853173,7
5333833,8,0,854531,7
5333843,8,0,855383,7
5333854,8,0,856433,7
5333864,8,0,857403,7
5333875,8,0,858431,7
5333886,8,0,859122,7
5333896,8,0,860135,7
5333907,8,0,861029,7
5333917,8,0,861842,7
5333927,8,0,862956,7
5333938,8,0,863875,7
5333948,8,0,864941,7
5333958,8,0,866084,7
5333969,8,0,867167,7
5333979,8,0,868042,7
5333990,8,0,869040,7
5334000,8,0,869923,7
5334011,8,0,871048,7
5334022,8,0,871925,7
5334032,8,0,872753,7
5334042,8,0,873414,7
5334052,8,0,874135,7
5334063,8,0,875121,7
5334074,8,0,875592,7
5334084,8,0,876542,7
5334095,8,0,877086,7
5334105,8,0,877852,7
5334116,8,0,878387,7
5334128,8,0,879147,7
5334139,8,0,880142,7
5334149,8,0,880670,7
5334159,8,0,881235,7
5334170,8,0,881820,7
5334180,8,0,882359,7
5334191,8,0,883202,7
5334202,8,0,883781,7
5334212,8,0,884720,7
5334223,8,0,885474,7
5334233,8,0,886519,7
5334244,8,0,887382,7
5334255,8,0,888185,7
5334266,8,0,888341,7
5334277,8,0,889093,7
5334288,8,0,889133,7
5334299,8,0,889520,7
5334310,8,0,889781,7
5334321,8,0,890492,7
5334331,8,0,891171,7
5334342,8,0,892160,7
5334353,8,0,892882,7
5334363,8,0,893942,7
5334374,8,0,894929,7
5334384,8,0,895822,7
5334395,8,0,896797,7
5334405,8,0,897758,7
5334416,8,0,899024,7
5334426,8,0,900055,7
5334437,8,0,901053,7
5334447,8,0,901865,7
5334458,8,0,902871,7
5334468,8,0,903554,7
5334478,8,0,904617,7
5334489,8,0,905606,7
5334499,8,0,906782,7
5334510,8,0,907822,7
5334520,8,0,908879,7
5334531,8,0,910139,7
5334542,8,0,911048,7
5334552,8,0,911973,7
5334563,8,0,913213,7
5334573,8,0,914265,7
5334584,8,0,915400,7
5334595,8,0,916642,7
5334605,8,0,917695,7
5334616,8,0,918941,7
5334627,8,0,919922,7
5334637,8,0,920981,7
5334647,8,0,921989,7
5334658,8,0,923173,7
5334668,8,0,924300,7
5334679,8,0,925227,7
5334689,8,0,926273,7
5334700,8,0,927135,7
5334711,8,0,928026,7
5334721,8,0,928809,7
5334732,8,0,929588,7
5334743,8,0,930425,7
5334753,8,0,931604,7
5334764,8,0,932634,7
5334774,8,0,933539,7
5334784,8,0,934406,7
5334795,8,0,935388,7
5334805,8,0,936527,7
5334816,8,0,937751,7
5334827,8,0,938606,7
5334837,8,0,939569,7
5334847,8,0,940536,7
5334858,8,0,941594,7
5334868,8,0,942768,7
5334878,8,0,944010,7
5334888,8,0,945045,7
5334899,8,0,946137,7
5334910,8,0,947061,7
5334920,8,0,948182,7
5334930,8,0,949202,7
5334941,8,0,950320,7
5334952,8,0,951431,7
5334962,8,0,952325,7
5334972,8,0,953510,7
5334983,8,0,954764,7
5334994,8,0,955907,7
5335004,8,0,956925,7
5335015,8,0,958018,7
5335025,8,0,958869,7
5335036,8,0,960031,7
5335046,8,0,961011,7
5335057,8,0,961975,7
5335067,8,0,963145,7
5335078,8,0,964117,7
5335089,8,0,965309,7
5335100,8,0,966519,7
5335110,8,0,967568,7
5335121,8,0,968742,7
5335131,8,0,969958,7
5335142,8,0,970943,7
5335152,8,0,972218,7
5335163,8,0,973341,7
5335173,8,0,974303,7
5335184,8,0,975158,7
5335194,8,0,976181,7
5335204,8,0,977292,7
5335215,8,0,978354,7
5335226,8,0,979412,7
5335237,8,0,980307,7
5335247,8,0,981275,7
5335258,8,0,982463,7
5335269,8,0,983575,7
5335279,8,0,984611,7
5335290,8,0,985627,7
5335301,8,0,986751,7
5335311,8,0,987868,7
5335321,8,0,988543,7
5335332,8,0,989702,7
5335343,8,0,990716,7
5335353,8,0,991869,7
5335364,8,0,992783,7
5335374,8,0,993905,7
5335385,8,0,994635,7
5335395,8,0,995453,7
5335405,8,0,996012,7
5335417,8,0,996758,7
5335427,8,0,997651,7
5335438,8,0,998477,7
5335449,8,0,999239,7
5335459,8,0,999918,7
5335470,8,0,1000863,7
5335480,8,0,1001791,7
5335490,8,0,1002753,7
5335501,8,0,1003472,7
5335511,8,0,1004399,7
5335521,8,0,1005111,7
5335532,8,0,1006007,7
5335542,8,0,1006691,7
5335553,8,0,1007792,7
5335563,8,0,1008001,7
5335573,8,0,1008001,7
5335584,8,0,1008001,7
5335594,8,0,1008608,7
5335605,8,0,1009937,7
5335616,8,0,1010926,7
5335627,8,0,1012185,7
5335637,8,0,1013113,7
5335648,8,0,1014233,7
5335659,8,0,1014976,7
5335669,8,0,1016098,7
5335680,8,0,1016850,7
5335691,8,0,1017919,7
5335702,8,0,1018943,7
5335712,8,0,1019871,7
5335722,8,0,1020680,7
5335733,8,0,1021652,7
5335743,8,0,1022570,7
5335754,8,0,1023302,7
5335764,8,0,1024160,7
5335775,8,0,1025042,7
5335786,8,0,1026041,7
5335797,8,0,1026944,7
5335808,8,0,1027441,7
5335819,8,0,1028394,7
5335829,8,0,1029133,7
5335840,8,0,1029510,7
5335852,8,0,1030550,7
5335863,8,0,1031433,7
5335873,8,0,1032389,7
5335883,8,0,1032389,7
5335894,8,0,1032389,7
5335904,8,0,1033286,7
5335915,8,0,1034114,7
5335925,8,0,1035090,7
5335936,8,0,1035791,7
5335946,8,0,1036531,7
5335957,8,0,1037358,7
5335968,8,0,1038124,7
5335979,8,0,1038971,7
5335990,8,0,1039709,7
5336000,8,0,1040598,7
5336011,8,0,1041437,7
5336021,8,0,1042091,7
5336032,8,0,1043048,7
5336043,8,0,1043870,7
5336054,8,0,1044262,7
5336064,8,0,1045109,7
5336074,8,0,1045760,7
5336085,8,0,1046489,7
5336096,8,0,1047085,7
5336107,8,0,1047959,7
5336118,8,0,1048682,7
5336128,8,0,1049644,7
5336139,8,0,1050085,7
5336149,8,0,1050792,7
5336160,8,0,1051290,7
5336171,8,0,1052456,7
5336182,8,0,1053397,7
5336192,8,0,1054090,7
5336202,8,0,1054395,7
5336213,8,0,1055493,7
5336224,8,0,1055759,7
5336235,8,0,1055759,7
5336246,8,0,1055759,7
5336257,8,0,1055759,7
5336267,8,0,1055835,7
5336278,8,0,1056410,7
5336288,8,0,1056901,7
5336299,8,0,1057608,7
5336310,8,0,1058207,7
5336321,8,0,1059209,7
5336331,8,0,1059890,7
5336342,8,0,1060703,7
5336352,8,0,1061433,7
5336362,8,0,1062275,7
5336374,8,0,1063135,7
5336384,8,0,1063979,7
5336395,8,0,1064561,7
5336405,8,0,1065169,7
5336416,8,0,1065643,7
5336427,8,0,1066586,7
5336437,8,0,1067319,7
5336448,8,0,1068219,7
5336458,8,0,1068884,7
5336468,8,0,1069469,7
5336479,8,0,1070308,7
5336490,8,0,1071073,7
5336500,8,0,1071073,7
5336511,8,0,1071073,7
5336522,8,0,1071073,7
5336532,8,0,1071073,7
5336542,8,0,1071073,7
5336553,8,0,1071628,7
5336564,8,0,1072225,7
5336574,8,0,1073039,7
5336584,8,0,1073736,7
5336595,8,0,1074550,7
5336606,8,0,1075221,7
5336617,8,0,1076054,7
5336628,8,0,1076768,7
5336638,8,0,1077680,7
5336648,8,0,1078244,7
5336659,8,0,1079188,7
5336671,8,0,1079879,7
5336682,8,0,1080865,7
5336692,8,0,1081666,7
5336703,8,0,1082682,7
5336713,8,0,1083295,7
5336724,8,0,1083915,7
5336735,8,0,1084451,7
5336745,8,0,1085351,7
5336756,8,0,1085927,7
5336766,8,0,1086982,7
5336777,8,0,1087695,7
5336787,8,0,1088639,7
5336799,8,0,1089334,7
5336809,8,0,1090278,7
5336820,8,0,1091161,7
5336831,8,0,1091161,7
5336841,8,0,1091161,7
5336852,8,0,1091566,7
5336863,8,0,1092700,7
5336874,8,0,1093689,7
5336885,8,0,1094793,7
5336895,8,0,1095575,7
5336906,8,0,1096430,7
5336916,8,0,1097082,7
5336926,8,0,1098044,7
5336937,8,0,1098928,7
5336948,8,0,1099967,7
5336958,8,0,1101222,7
5336969,8,0,1102149,7
5336980,8,0,1103021,7
5336990,8,0,1103932,7
5337001,8,0,1104954,7
5337012,8,0,1106181,7
5337022,8,0,1107315,7
5337033,8,0,1108377,7
5337044,8,0,1109228,7
5337055,8,0,1110452,7
5337065,8,0,1111509,7
5337075,8,0,1112419,7
5337086,8,0,1113453,7
5337096,8,0,1114466,7
5337107,8,0,1115865,7
5337117,8,0,1116666,7
5337127,8,0,1117727,7
5337138,8,0,1118871,7
5337149,8,0,1120044,7
5337159,8,0,1121176,7
5337170,8,0,1122200,7
5337180,8,0,1123280,7
5337191,8,0,1124037,7
5337201,8,0,1125078,7
5337212,8,0,1125911,7
5337223,8,0,1127075,7
5337233,8,0,1128011,7
5337244,8,0,1128925,7
5337254,8,0,1130075,7
5337265,8,0,1131300,7
5337276,8,0,1132227,7
5337286,8,0,1133199,7
5337297,8,0,1134117,7
5337307,8,0,1135090,7
5337318,8,0,1136294,7
5337329,8,0,1137317,7
5337339,8,0,1138681,7
5337350,8,0,1139796,7
5337360,8,0,1140759,7
5337371,8,0,1141777,7
5337381,8,0,1142928,7
5337392,8,0,1143851,7
5337403,8,0,1144730,7
5337413,8,0,1145647,7
5337423,8,0,1146572,7
5337434,8,0,1147667,7
5337444,8,0,1148724,7
5337455,8,0,1149786,7
5337466,8,0,1150691,7
5337476,8,0,1151604,7
5337487,8,0,1152514,7
5337497,8,0,1153855,7
5337508,8,0,1154718,7
5337518,8,0,1155978,7
5337529,8,0,1157077,7
5337540,8,0,1158071,7
5337551,8,0,1159425,7
5337561,8,0,1160321,7
5337572,8,0,1161441,7
5337582,8,0,1161950,7
5337592,8,0,1162818,7
5337604,8,0,1163645,7
5337614,8,0,1164533,7
5337625,8,0,1165271,7
5337635,8,0,1166099,7
5337645,8,0,1166717,7
5337656,8,0,1166717,7
5337666,8,0,1166717,7
5337677,8,0,1167400,7
5337687,8,0,1168493,7
5337697,8,0,1169618,7
5337708,8,0,1170504,7
5337718,8,0,1171305,7
5337729,8,0,1171755,7
5337739,8,0,1172636,7
5337749,8,0,1173340,7
5337760,8,0,1174208,7
5337771,8,0,1174895,7
5337781,8,0,1175900,7
5337792,8,0,1176589,7
5337802,8,0,1177745,7
5337812,8,0,1178613,7
5337823,8,0,1179731,7
5337834,8,0,1180576,7
